"Category","Question","Answers","Description","Keywords"
"Administración de Tiendas","¿Cómo cambio el nombre de mi tienda virtual?","<p>Para cambiar el nombre de tu tienda, tienes que ir a esta página: <a href='https://secure.ombushop.com/admin/configurations' title='Configuración de Tienda' rel='nofollow'>Configuración de Tienda</a>. Ahí puedes ingresar el nombre que quieras. Por ejemplo: <a href='http://demo.ombushop.com' title='Tienda de Demo de OmbuShop'>demo</a>.</p><p>El nombre de esta página se utiliza para calcular la dirección de tu tienda, que ahora es: <a href='http://demo.ombushop.com/' title='Tienda Demo de OmbuShop'>http://demo.ombushop.com</a></p><p>Además, en la página <a href='https://secure.ombushop.com/admin/styles' rel='nofollow' title='Configuración de Estilo de Tienda'>Configuración de Diseño</a> puedes cambiarle el título a tu tienda. Este título puede ser más expresivo que el nombre de la tienda.</p><p>El título aparecerá en los resultados de Google cuando la gente busque 'Demo Tienda OmbuShop' (por ejemplo)</p>.","Nombre de tienda online, administración de nombre de tienda online","tienda online, tienda virtual, nombre de tienda, cambio de nombre de tienda, ecommerce"
"Sobre OmbuShop","¿Qué es OmbuShop?","<p>OmbuShop es un sitio web para crear tu propia tienda virtual y vender por Internet. No necesitas conocimientos tecnicos, ¡sólo tu email, tus productos, un logo, el nombre de tu tienda!</p><p>Seguro te interesa ver <a href='http://www.ombushop.com/ayuda/que-no-es-ombushop' title='Qué no es OmbuShop'>qué no es OmbuShop.</p>","Sobre la plataforma de tiendas online, OmbuShop","OmbuShop, tienda online, tienda virtual, vender por Internet, ecommerce"
"Sobre OmbuShop","¿Qué no es OmbuShop?","<p>OmbuShop no es un marketplace. No es como <a href='http://www.mercadolibre.com' title='MercadoLibre'>MercadoLibre</a>, donde tus productos compiten con los de tu competencia. No tenemos una página que muestra productos de todas las tiendas. </p><p>Seguro te interesa ver <a href='http://www.ombushop.com/ayuda/que-es-ombushop' title='Qué es OmbuShop'>qué es OmbuShop.</p>","Sobre la plataforma de tiendas online, OmbuShop","OmbuShop, tienda online, tienda virtual, vender por Internet, ecommerce"
"Sobre OmbuShop","¿Cómo instalo el software de OmbuShop?","<p>No hace falta instalar nada; ¡haces todo desde tu navegador!</p><p>Sólo necesitas una dirección de email para crear tu tienda virtual. Usaremos dicha dirección para contactarte cada vez que realices una venta.</p><p>Puedes <a href='http://www.ombushop.com/#signup-form' title='Tu Tienda Virtual'>registrarte hoy</a> y aprovechar nuestro período de prueba gratis.</p>","Los requisitos para empezar a usar OmbuShop","navegador, plataforma web, OmbuShop"
"Sobre OmbuShop","¿En qué países funciona OmbuShop?","<p>Actualmente la plataforma está disponible en Colombia, Argentina, Chile, México y España. Trabajamos con todas las monedas disponibles en dichos países y dólares estadounidenses. Si quieres utilizar OmbuShop en tu pais, y todavía no está disponible, te podemos avisar cuando lancemos en tu pais; escríbenos a hola@ombushop.com.</p>","Los países donde OmbuShop está disponible","Argentina, Chile, Mexico, OmbuShop"
"Sobre OmbuShop","¿Con qué monedas funciona OmbuShop?","<p>Actualmente la plataforma funciona conPesos Argentinos, Colombianos, Chilenos, Mexicanos, Dólares Estadounidenses y Euros.</p><p> La plataforma está disponible en Colombia, Argentina, Chile, México y España. Si quieres te podemos avisar cuando lancemos en tu pais; escríbenos a hola@ombushop.com.</p>","Los países donde OmbuShop está disponible","Argentina, Chile, Mexico, OmbuShop"
"Sobre OmbuShop","¿Puedo ver todas las tiendas en OmbuShop?","<p>Para ver ejemplos de tiendas que ya venden con nosotros puedes ver <a href='http://www.ombushop.com/ejemplos-de-tiendas-virtuales' target='_blank'>la página de tiendas de OmbuShop</a>.</p>","Link a unos ejemplos de tiendas online","tiendas online, tiendas virtuales, ejemplos fe tiendas virtuales"
"Sobre OmbuShop","¿Cómo puedo trabajar con ustedes?","<p>Por ahora trabajamos, más que nada, con gente registrada en nuestro programa de partners. Contamos con nuestros partners para los proyectos de customización de las tiendas, y puedes ganarte comisiones de cualquier cliente tuyo que traigas a la plataforma.</p> <p>¡Inscríbete en <a href='http://www.ombushop.com/partners' target='_blank'>http://ombushop.com/partners</a>!</p>","Cómo sumarte al equipo de OmbuShop","OmbuShop, diseñadores web, programa de partners"
"Setup Inicial","¿Cómo empiezo con mi tienda online?","<p>Para empezar puedes ir a  <a href='http://www.ombushop.com/#signup-form' target='_blank'> esta página </a>y registrarte. Confirmas tu mail haciendo click en el link que te enviamos por mail y esto te dirigirá a tu panel de administración. Ahí puedes empezar a subir tus productos con las fotos de cada uno. </p>","Los primeros pasos para empezar a crear tu tienda online","tiendas online, tiendas virtuales, vender por Internet, eCommerce"
"Setup Inicial","¿Puedo cambiar mi dirección de Email?","<p>Sí, puedes cambiar la dirección de Email asociada a tu tienda online. Sólo debes ir al panel de administración e ir a la sección de Mi Cuenta. Ahí podrás ingresar la nueva dirección de Email. </p>","Cómo corregir el mail vinculado con tu tienda online","mail, OmbuShop, tienda online"
